Project Name,Package Name,Architecture Smell,Cause of the Smell
javacpp,org.bytedeco.javacpp,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 49
javacpp,org.bytedeco.javacpp,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.bytedeco.javacpp.indexer
javacpp,org.bytedeco.javacpp,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdapterTest; BytePointer; Loader; IntPointer; CharPointer; PointerPointer; AdapterTest.SharedData; Pointer; Pointer.CustomDeallocator; Pointer.ProxyDeallocator; DoublePointer; SizeTPointer; LongPointer; CLongPointer; BooleanPointer; BoolPointer; PointerScope; FloatPointer; FunctionPointer; ShortPointer; AdapterTest.UniqueData; AdapterTest.MovedData; AdapterTest.SharedFunction; AdapterTest.UniqueFunction; EnumTest; EnumTest.EnumCallback; PointerTest; PointerTest.TestFunction; BufferTest; BufferTest.BufferCallback; IndexerTest; BuilderTest; ClassProperties; LoadEnabled; ThreadTest; ThreadTest.Callback]; [EnumTest.BoolEnum]; [EnumTest.ByteEnum]; [EnumTest.ShortEnum]; [EnumTest.IntEnum]; [EnumTest.LongEnum]; [IndexerTest.TestIndexer]; [Pointer.Deallocator]; [Pointer.ReferenceCounter]; [Pointer.NativeDeallocator]; [Pointer.DeallocatorReference]; [Pointer.DeallocatorThread]; [Loader.Detector]; [Loader.Helper]. LCC (Lack of Component Cohesion) = 0.29
javacpp,org.bytedeco.javacpp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.bytedeco.javacpp; org.bytedeco.javacpp.tools; org.bytedeco.javacpp
javacpp,org.bytedeco.javacpp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.bytedeco.javacpp; org.bytedeco.javacpp.indexer; org.bytedeco.javacpp
javacpp,org.bytedeco.javacpp.indexer,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 66
javacpp,org.bytedeco.javacpp.tools,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
javacpp,org.bytedeco.javacpp.tools,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.bytedeco.javacpp
javacpp,org.bytedeco.javacpp.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserClassLoader; CacheMojo; BuildMojo; ClassScanner; Generator; MethodInformation; AdapterInformation; Parser; Type; ParserException; Builder; Declarator; Info; CommandExecutor; Context; Logger; TokenIndexer; DeclarationList; Templates; DocTag; InfoMapper; Declaration; Tokenizer; PointerBufferPoolMXBean; InfoMap; Attribute; Token; Parameters; TemplateMap; IndexedSet; BuildEnabled; ClassFilter; ParseMojo; Slf4jLogger]; [EncodingFileWriter]; [ClearMojo]; [Generator.BooleanEnum]; [Generator.ByteEnum]; [Generator.ShortEnum]; [Generator.IntEnum]; [Generator.LongEnum]. LCC (Lack of Component Cohesion) = 0.2
